,support,itemsets,length,country
105,0.38,"('town', 'city')",2,all
106,0.17,"('narrow', 'city')",2,all
107,0.22,"('narrow', 'town')",2,all
108,0.11,"('narrow', 'beach')",2,all
109,0.13,"('narrow', 'forest')",2,all
110,0.18,"('narrow', 'building')",2,all
111,0.15,"('narrow', 'hill')",2,all
112,0.15,"('resort', 'narrow')",2,all
113,0.14,"('narrow', 'restaurant')",2,all
114,0.11,"('narrow', 'office')",2,all
115,0.12,"('narrow', 'house')",2,all
141,0.16,"('narrow', 'shop')",2,all
142,0.14,"('shop', 'city')",2,all
143,0.24,"('shop', 'town')",2,all
144,0.2,"('shop', 'building')",2,all
145,0.19,"('shop', 'restaurant')",2,all
146,0.18,"('shop', 'office')",2,all
147,0.13,"('shop', 'hill')",2,all
148,0.12,"('shop', 'forest')",2,all
149,0.12,"('resort', 'shop')",2,all
150,0.15,"('shop', 'house')",2,all
151,0.1,"('shop', 'beach')",2,all
220,0.17,"('sea', 'city')",2,all
221,0.14,"('narrow', 'sea')",2,all
222,0.11,"('shop', 'sea')",2,all
223,0.2,"('town', 'sea')",2,all
224,0.19,"('resort', 'sea')",2,all
225,0.15,"('sea', 'restaurant')",2,all
226,0.14,"('sea', 'beach')",2,all
227,0.17,"('sea', 'building')",2,all
228,0.13,"('hill', 'sea')",2,all
229,0.1,"('sea', 'office')",2,all
230,0.13,"('sea', 'house')",2,all
279,0.11,"('shop', 'island')",2,all
280,0.11,"('city', 'island')",2,all
281,0.09,"('sea', 'island')",2,all
282,0.14,"('town', 'island')",2,all
283,0.11,"('bear', 'island')",2,all
284,0.1,"('coast', 'island')",2,all
285,0.17,"('restaurant', 'island')",2,all
286,0.13,"('island', 'building')",2,all
287,0.12,"('island', 'office')",2,all
288,0.12,"('resort', 'island')",2,all
289,0.1,"('shore', 'island')",2,all
290,0.1,"('forest', 'island')",2,all
291,0.09,"('hill', 'island')",2,all
292,0.09,"('island', 'overlook')",2,all
293,0.11,"('house', 'island')",2,all
294,0.09,"('island', 'beach')",2,all
341,0.1,"('shop', 'garden')",2,all
342,0.1,"('garden', 'city')",2,all
343,0.09,"('garden', 'island')",2,all
344,0.09,"('garden', 'sea')",2,all
345,0.09,"('narrow', 'garden')",2,all
346,0.14,"('town', 'garden')",2,all
347,0.12,"('garden', 'building')",2,all
348,0.11,"('garden', 'office')",2,all
349,0.1,"('garden', 'park')",2,all
350,0.1,"('garden', 'draw')",2,all
351,0.1,"('hill', 'garden')",2,all
352,0.09,"('garden', 'ground')",2,all
353,0.09,"('garden', 'show')",2,all
354,0.09,"('garden', 'restaurant')",2,all
355,0.09,"('resort', 'garden')",2,all
356,0.12,"('garden', 'house')",2,all
385,0.22,"('bear', 'town')",2,all
386,0.17,"('bear', 'shop')",2,all
387,0.19,"('bear', 'forest')",2,all
388,0.14,"('resort', 'bear')",2,all
389,0.13,"('bear', 'city')",2,all
390,0.19,"('bear', 'office')",2,all
391,0.19,"('bear', 'building')",2,all
392,0.16,"('bear', 'restaurant')",2,all
393,0.13,"('bear', 'hill')",2,all
394,0.12,"('narrow', 'bear')",2,all
395,0.16,"('bear', 'house')",2,all
396,0.1,"('bear', 'beach')",2,all
505,0.19,"('town', 'coast')",2,all
506,0.14,"('sea', 'coast')",2,all
507,0.1,"('bear', 'coast')",2,all
508,0.1,"('shop', 'coast')",2,all
509,0.17,"('resort', 'coast')",2,all
510,0.16,"('coast', 'restaurant')",2,all
511,0.15,"('coast', 'beach')",2,all
