,occ_brazil,occ_canada,occ_france,occ_germany,occ_italy,occ_mexico,occ_peru,occ_spain,occ_sweden,occ_usa,occ_count_tokens_overall,freq_brazil,tf_idf_brazil,freq_canada,tf_idf_canada,freq_france,tf_idf_france,freq_germany,tf_idf_germany,freq_italy,tf_idf_italy,freq_mexico,tf_idf_mexico,freq_peru,tf_idf_peru,freq_spain,tf_idf_spain,freq_sweden,tf_idf_sweden,freq_usa,tf_idf_usa
abandon,2,0,3,1,0,5,1,0,1,0,13,0.00018147173577715272,-1.3165895499249022e-05,0.0,-0.0,0.00021571870281153377,-1.565053580540988e-05,0.0001330671989354624,-9.654114058364834e-06,0.0,-0.0,0.00027035795393100465,-1.9614649926628024e-05,0.0005473453749315818,-3.971027211199329e-05,0.0,-0.0,0.0001289490651192779,-9.35534070259339e-06,0.0,-0.0
abbey,0,0,7,3,0,0,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0005033436398935787,2.0834744812509923e-05,0.0003992015968063872,1.6524026011267494e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ability,1,0,0,0,0,2,0,0,0,0,3,9.073586788857636e-05,5.119965796557141e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010814318157240186,6.1022107758036394e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
able,3,0,3,0,0,2,0,3,1,0,12,0.00027220760366572906,-1.0286333605680012e-05,0.0,-0.0,0.00021571870281153377,-8.151699336175983e-06,0.0,-0.0,0.0,-0.0,0.00010814318157240186,-4.086575201622126e-06,0.0,-0.0,0.0002239474469991042,-8.462651736951284e-06,0.0001289490651192779,-4.872799598891013e-06,0.0,-0.0
abolish,1,0,0,0,0,1,0,0,0,0,2,9.073586788857636e-05,6.71774511835808e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.407159078620093e-05,4.00325883797039e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abortion,0,0,0,0,0,1,0,0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.407159078620093e-05,4.00325883797039e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0005361930294906167,0.00039697731340173937
abound,1,0,1,0,0,2,0,2,1,0,7,9.073586788857636e-05,1.7810964989018076e-05,0.0,0.0,7.190623427051126e-05,1.4114808739769051e-05,0.0,0.0,0.0,0.0,0.00010814318157240186,2.1227927451494342e-05,0.0,0.0,0.00014929829799940282,2.9306456426391193e-05,0.0001289490651192779,2.53120109792351e-05,0.0,0.0
absence,0,0,2,1,0,1,0,0,0,0,4,0.0,0.0,0.0,0.0,0.00014381246854102252,6.318151921050733e-05,0.0001330671989354624,5.846077096876415e-05,0.0,0.0,5.407159078620093e-05,2.3755417639789263e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
absolute,0,0,0,0,0,1,0,1,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.407159078620093e-05,3.0511053879018197e-05,0.0,0.0,7.464914899970141e-05,4.21223820870829e-05,0.0,0.0,0.0005361930294906167,0.00030255840774185663
absolutely,1,0,1,0,0,0,0,0,0,1,3,9.073586788857636e-05,5.119965796557141e-05,0.0,0.0,7.190623427051126e-05,4.0574633669271773e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005361930294906167,0.00030255840774185663
absorb,1,0,0,0,0,7,0,4,2,0,14,9.073586788857636e-05,-9.503252928047637e-06,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0003785011355034065,-3.9642449099172216e-05,0.0,-0.0,0.00029859659599880563,-3.1273619146017615e-05,0.0002578981302385558,-2.7011051068991103e-05,0.0,-0.0
abstract,0,0,4,1,0,2,0,2,0,0,9,0.0,0.0,0.0,0.0,0.00028762493708204504,2.506656380783784e-05,0.0001330671989354624,1.1596829769647397e-05,0.0,0.0,0.00010814318157240186,9.424697276835753e-06,0.0,0.0,0.00014929829799940282,1.3011372905180682e-05,0.0,0.0,0.0,0.0
abundance,0,0,0,0,0,1,1,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.407159078620093e-05,4.00325883797039e-05,0.0005473453749315818,0.00040523409386658126,0.0,0.0,0.0,0.0,0.0,0.0
