,Link,Place,Content,Country,Continent,no_NE_attractions,no_NE_attractions_plain,no_NE_attractions_plain_unique
0,https://www.roughguides.com/usa/hawaii/waikiki/,Waikiki,"Built on a reclaimed swamp, two miles east of downtown Honolulu, Waikiki is very nearly an island, all but separated from the city between the sea and the Ala Wai canal. The site may be venerable, but these days its raisond’être is rampant commercialism. You could, just about, survive here with very little money, but there would be no point – there’s nothing to see, and the only thing to do apart from surf and sunbathe is to stroll, and shop, along the seafront Kalakaua Avenue. In places, the parallel Waikiki Beach narrows to just a thin strip of sand, but it’s still a wonderful place to spend a lazy day, and there’s always something going on, from surf lessons to outrigger canoe rides. The pedestrian walkway along its edge, lined with pleasant gardens, makes it a refuge from the frenzy nearby, and usually you only have to walk a little west of the centre to find a more secluded spot. See our comprehensive first-timers-guide to the Hawaiian islands  for overviews of all six freely visited islands, and more on what to see and do around Waikiki.",usa,America,"[('swamp', 'geographic_attraction'), ('island', 'geographic_attraction'), ('city', 'architectural_attraction'), ('sea', 'geographic_attraction'), ('shop', 'entertainment_attraction'), ('narrow', 'geographic_attraction'), ('garden', 'other_attraction'), ('island', 'geographic_attraction'), ('island', 'geographic_attraction')]","['swamp', 'island', 'city', 'sea', 'shop', 'narrow', 'garden', 'island', 'island']","['city', 'island', 'garden', 'sea', 'shop', 'swamp', 'narrow']"
1,https://www.roughguides.com/usa/florida/florida-keys/,The Florida Keys,"Folklore, films and widespread hearsay have given the FLORIDA KEYS – a hundred-mile chain of islands that runs to within ninety miles of Cuba – an image of glamorous intrigue they don’t really deserve - at least, not now that the go-go days of the cocaine cowboys in the 1980s are long gone. Beach view with a vivid sunset at Key West, Florida USA The Keys can more accurately be described as an outdoor-lover’s paradise, where fishing, snorkelling and diving dominate. Terrific untainted natural areas include the Florida Reef, a great band of living coral just a few miles off the coast. But for many, the various keys are only stops on the way to Key West. This self-proclaimed “Conch Republic” has vibrant, Caribbean-style streets with plenty of convivial bars in which to while away the hours, watching the spectacular sunsets. Wherever you are on the Keys, you’ll experience distinctive cuisine, served for the most part in hip little shacks where the food is fresh and the atmosphere laidback. Conch, a rich meaty mollusc, is a speciality, served in chowders and fritters. There’s also key lime pie, a delicate, creamy concoction of special Key limes and condensed milk that bears little resemblance to the lurid green imposter pies served in the rest of the US. Key West Closer to Cuba than to mainland Florida, Key West has a culture that is a bit contrary to the rest of the mainland US. Famed for their tolerant attitudes and laidback lifestyles, the thirty thousand islanders seem adrift in a great expanse of sea and sky, and – despite a million tourists a year – the place resonates with an individual spirit. In particular, liberal attitudes have stimulated a large gay influx, estimated at two out of five of the population. Although Key West today has been heavily transformed for tourists, the town has retained some of its offbeat character, especially away from the main drag of Duval Street, now a well-tended tourist strip of boutiques and beachwear shops (though it’s still a pleasant place for a leisurely stroll). Check out reasons why Key West is worth a visit here. Make sure to visit the Bahamian Village, centred on Thomas and Petronia streets. Originally settled by Cubans and African-Bahamians, this relatively unrestored, untouristy corner of town is an atmospheric patchwork of single-storey cigar-makers’ cottages, Cuban groceries and ramshackle old churches, all covered by a rich green foliage.",usa,America,"[('island', 'geographic_attraction'), ('beach', 'geographic_attraction'), ('fishing', 'entertainment_attraction'), ('dive', 'entertainment_attraction'), ('coast', 'geographic_attraction'), ('mollusc', 'animal_attraction'), ('chowder', 'culinary_attraction'), ('fritter', 'culinary_attraction'), ('pie', 'culinary_attraction'), ('concoction', 'culinary_attraction'), ('milk', 'culinary_attraction'), ('bear', 'animal_attraction'), ('pie', 'culinary_attraction'), ('mainland', 'geographic_attraction'), ('mainland', 'geographic_attraction'), ('sea', 'geographic_attraction'), ('town', 'architectural_attraction'), ('boutique', 'entertainment_attraction'), ('shop', 'entertainment_attraction'), ('town', 'architectural_attraction'), ('cottage', 'architectural_attraction'), ('grocery', 'entertainment_attraction')]","['island', 'beach', 'fishing', 'dive', 'coast', 'mollusc', 'chowder', 'fritter', 'pie', 'concoction', 'milk', 'bear', 'pie', 'mainland', 'mainland', 'sea', 'town', 'boutique', 'shop', 'town', 'cottage', 'grocery']","['island', 'cottage', 'chowder', 'mainland', 'beach', 'fritter', 'concoction', 'bear', 'town', 'coast', 'boutique', 'mollusc', 'pie', 'milk', 'sea', 'shop', 'dive', 'fishing', 'grocery']"
2,https://www.roughguides.com/usa/rockies/yellowstone-national-park/,Yellowstone National Park,"America’s oldest and easily its most famous national park, YELLOWSTONE NATIONAL PARK attracts three million visitors every year (97 percent of them in summer), for good reason - the sheer diversity of what’s on offer is mind-bending. Not only does Yellowstone deliver jaw-dropping mountain scenery, from the scintillating colours of the Grand Canyon of the Yellowstone to the deep-azure Yellowstone Lake and wild-flower-filled meadows, but it’s jam-packed with so much wildlife you might think you’ve arrived at a safari park. Shambling grizzly bears, vast herds of heavy-bearded bison (buffalo) and horned elk mingle with marmots, prairie dogs, eagles, coyotes and more than a dozen elusive wolf packs on the prowl. What really sets Yellowstone apart, however, is that this is one of the world’s largest volcanoes, with thermal activity providing half the world’s geysers, thousands of fumaroles jetting plumes of steam, mud pots gurgling with acid-dissolved muds and clays, and of course, hot springs. The park might not look like a volcano, but that’s because the caldera is so big – 34 by 45 miles – and because, thankfully, it hasn’t exploded for 640,000 years.",usa,America,"[('mountain', 'geographic_attraction'), ('meadow', 'other_attraction'), ('grizzly', 'animal_attraction'), ('bear', 'animal_attraction'), ('bison', 'animal_attraction'), ('buffalo', 'animal_attraction'), ('elk', 'animal_attraction'), ('marmot', 'animal_attraction'), ('prairie', 'other_attraction'), ('dog', 'animal_attraction'), ('eagle', 'animal_attraction'), ('coyote', 'animal_attraction'), ('wolf', 'animal_attraction'), ('volcano', 'geographic_attraction'), ('geyser', 'geographic_attraction'), ('volcano', 'geographic_attraction'), ('caldera', 'geographic_attraction')]","['mountain', 'meadow', 'grizzly', 'bear', 'bison', 'buffalo', 'elk', 'marmot', 'prairie', 'dog', 'eagle', 'coyote', 'wolf', 'volcano', 'geyser', 'volcano', 'caldera']","['geyser', 'eagle', 'elk', 'mountain', 'bear', 'meadow', 'bison', 'wolf', 'dog', 'marmot', 'volcano', 'caldera', 'coyote', 'prairie', 'buffalo', 'grizzly']"
3,https://www.roughguides.com/usa/hawaii/big-island/,The Big Island,"Although the Big Island of Hawaii could hold all the other islands with room to spare, it has the population of a medium-sized town, with just 185,000 people (perhaps half what it held in Captain Cook’s day). Visitation remains lower than at Oahu and Maui - despite its fair share of restaurants, bars and facilities, this is basically a rural community, where sleepy old towns have remained unchanged for a century. The few resorts are built on the barren lava flows of the Kona coast to catch maximum sunshine. Thanks to the Kilauea volcano, which has destroyed roads and even towns, and spews out pristine beaches of jet-black sand, the Big Island is still growing, its southern shore inching ever further out to sea. Hawaii Volcanoes National Park, which includes Mauna Loa as well as Kilauea (though not Mauna Kea, further to the north and higher than either), is absolutely compelling - you can explore steaming craters and cinder cones, venture into the rainforest, and at times approach within feet of the eruption itself. As befits the birthplace of King Kamehameha, more of the ancient Hawaii survives on the Big Island than anywhere else, with temples and historic sites including the Puuhonua O Honaunau in the southwest, and lush Waipio Valley in the northeast. Hawaii Volcanoes National Park The Big Island’s southernmost volcanoes, Mauna Loa and Kilauea, jointly constitute HAWAII VOLCANOES NATIONAL PARK, thirty miles from Hilo and eighty from Kailua. The park’s dramatic landscapes include desert, arctic tundra and rainforest, besides two active volcanoes. Evidence is everywhere of the awesome power of the volcanoes to create and destroy - no map can keep up with the latest whims of the lava flow. Whole towns have been engulfed, and once-prized beachfront properties lie buried hundreds of yards back from the sea. Kilauea Caldera The main focus of the park is Kilauea Caldera, the summit crater of Kilauea, twenty miles up from the ocean. Close to the rim, both the visitor centre and the fascinating Jaggar Museum of geology offer basic orientation. Kilauea is said to be the home of the volcano goddess Pele, who has followed the “hot spot” from island to island. When Mark Twain came here in 1866, he observed a dazzling lake of liquid fire - after a huge explosion in 1924 it became shallower and quieter, a black dusty expanse dotted with hissing steam vents. Volcanic activity in the caldera resumed in 2008, however, so visitors currently can only admire the merging plumes of smoke from a distance. It’s still possible to hike nearby. The five-mile Kilauea Iki Trail explores an adjoining crater, where you pick your way from cairn to cairn across an eerie landscape of cracked and jagged lava, while the mile-long Devastation Trail is a boardwalk laid across the scene of a 1959 eruption. Chain of Craters Road Chain of Craters Road winds down to the sea from Crater Rim Drive, sweeping around cones and vents in an empty landscape where the occasional dead white tree trunk or flowering shrub pokes up. Fresh sheets of lava constantly ooze down the slopes to cover the road, so it now comes to a dead end a short way along the coast, a fifty-mile round-trip from the park entrance (with no facilities along the way). Depending on where current volcanic activity is concentrated, it is possible at times to walk across the congealed lava from the end of the road to see molten rock gush from the earth – sometimes directly into the sea.  See our comprehensive first-timers-guide to the Hawaiian islands  for overviews of all six freely visited islands.",usa,America,"[('town', 'architectural_attraction'), ('fair', 'entertainment_attraction'), ('restaurant', 'architectural_attraction'), ('town', 'architectural_attraction'), ('resort', 'architectural_attraction'), ('barren', 'geographic_attraction'), ('coast', 'geographic_attraction'), ('town', 'architectural_attraction'), ('beach', 'geographic_attraction'), ('shore', 'geographic_attraction'), ('sea', 'geographic_attraction'), ('rainforest', 'geographic_attraction'), ('approach', 'other_attraction'), ('birthplace', 'architectural_attraction'), ('temple', 'architectural_attraction'), ('desert', 'other_attraction'), ('tundra', 'geographic_attraction'), ('rainforest', 'geographic_attraction'), ('town', 'architectural_attraction'), ('beachfront', 'geographic_attraction'), ('sea', 'geographic_attraction'), ('ocean', 'geographic_attraction'), ('lake', 'geographic_attraction'), ('shallow', 'geographic_attraction'), ('sea', 'geographic_attraction'), ('sheet', 'geographic_attraction'), ('slope', 'geographic_attraction'), ('coast', 'geographic_attraction'), ('sea', 'geographic_attraction')]","['town', 'fair', 'restaurant', 'town', 'resort', 'barren', 'coast', 'town', 'beach', 'shore', 'sea', 'rainforest', 'approach', 'birthplace', 'temple', 'desert', 'tundra', 'rainforest', 'town', 'beachfront', 'sea', 'ocean', 'lake', 'shallow', 'sea', 'sheet', 'slope', 'coast', 'sea']","['shallow', 'resort', 'lake', 'approach', 'tundra', 'barren', 'beach', 'rainforest', 'slope', 'temple', 'birthplace', 'town', 'coast', 'sheet', 'beachfront', 'restaurant', 'sea', 'ocean', 'desert', 'fair', 'shore']"
4,https://www.roughguides.com/usa/great-plains/,The Great Plains Travel Guide,"The rolling hills and vast grasslands of the Great Plains have been home to adventurers, artists and outlaws for centuries, from great Sioux warriors Crazy Horse and Sitting Bull to Jesse James and Mark Twain. Stretching west through Missouri, Oklahoma, Kansas, Nebraska, Iowa, South Dakota and North Dakota, the Great Plains are often stereotyped as an expanse of unvaryingly flat corn fields, the “flyover states” of conservative “Middle American” values. On the contrary, the region is loaded with attractions, from quirky Americana on Route 66 to dynamic art and culinary scenes in Omaha, Tulsa and St Louis, and is often not flat at all – there are canyons, forests, hills and splashes of unexpected colour, as well as two of the nation’s mightiest rivers: the Missouri and the Mississippi. The Plains also share a complex, fascinating history. Once home to nomadic tribes such as the Sioux and a handful of hardy French traders, the region only saw US colonization really ramped up after the Civil War – by the 1880s the systematic destruction by white settlers of the awesome herds of bison presaged the virtual eradication of the Plains Indians, though their ancestors retain a significant presence in South Dakota and Oklahoma (the latter was settled primarily by tribes removed from the east). Despite harsh conditions and a series of droughts, emigrants poured into the region - after World War I wheat production doubled in the US, creating a boom across the Great Plains that ended with another drought in 1932 and dust storms that lasted three years - images of the devastating “Dustbowl” remain as potent as the fantasy of Dorothy and Toto being swept up from Kansas by a tornado to the land of Oz. Indeed, drama here comes in the form of such unpredictable weather as freak blizzards, dust devils, lightning storms and, most notoriously, “twister” tornadoes. Today farming – though still the major activity on the Plains – isn’t the only game in town - the region’s economy is booming thanks to oil and natural gas, especially in Oklahoma and more recently North Dakota. Though the lunar landscapes of South Dakota’s Badlands and stately Mount Rushmore in the Black Hills are easily the region’s most visited areas, there’s plenty of entertainment elsewhere, from Kansas City barbecue and the birthplace of Mark Twain, to wicked old cowboy towns like Deadwood in South Dakota and Dodge City in Kansas. Having a car is practically imperative to make the most of the Great Plains, where distances are long, roads straight and seemingly endless and the population sparse.",usa,America,"[('grassland', 'other_attraction'), ('field', 'other_attraction'), ('flyover', 'architectural_attraction'), ('canyon', 'geographic_attraction'), ('forest', 'geographic_attraction'), ('rivers', 'geographic_attraction'), ('bison', 'animal_attraction'), ('land', 'geographic_attraction'), ('farm', 'geographic_attraction'), ('town', 'architectural_attraction'), ('entertainment', 'entertainment_attraction'), ('barbecue', 'culinary_attraction'), ('birthplace', 'architectural_attraction'), ('town', 'architectural_attraction')]","['grassland', 'field', 'flyover', 'canyon', 'forest', 'rivers', 'bison', 'land', 'farm', 'town', 'entertainment', 'barbecue', 'birthplace', 'town']","['flyover', 'rivers', 'barbecue', 'forest', 'canyon', 'field', 'land', 'entertainment', 'town', 'birthplace', 'grassland', 'bison', 'farm']"
5,https://www.roughguides.com/usa/rockies/,The Rockies Travel Guide,"Only when you traverse the Rocky Mountain states of Colorado, Wyoming, Montana and Idaho does the immense size of the American West really hit home. Stretching over one thousand miles from the virgin forests on the Canadian border to the deserts of New Mexico, America’s rugged spine encompasses an astonishing array of landscapes – geyser basins, lava flows, arid valleys and huge sand dunes – each in its own way as dramatic as the region’s magnificent snow-capped peaks. All that geological grandeur is enhanced by wildlife such as bison, bear, moose and elk, and the conspicuous legacy of the miners, cowboys, outlaws and Native Americans who struggled over the area’s rich resources during the nineteenth century. Each of the four states has its own distinct character. Colorado, with fifty peaks over 14,000ft, is the most mountainous and populated, as well as the economic leader of the region with a liberal, progressive reputation. Friendly, sophisticated Denver, the Rockies’ only major metropolis, is also the most visited city, in part because it serves as gateway to some of the best ski resorts in the country. Less touched by the tourist circus is vast, brawny Montana, where the “Big Sky” looks down on a glorious verdant manuscript scribbled over with gushing streams, lakes and tiny communities. Vast stretches of scrubland fill Wyoming, the country’s least populous state, its most conservative and traditionally Western, best known for gurgling, spitting Yellowstone, adjacent Grand Teton National Park and the nearby Bighorn Mountains. Rugged, remote whitewater rafting hub Idaho holds some of the Rocky Mountains’ last unexplored wildernesses, most notably the mighty Sawtooth range. Attempt to rush around every national park and major town and you’ll miss out on one of the Rockies’ real delights – coaxing your car along the tight switchback roads that wind up and over precipitous mountain passes, especially through the majestic Continental Divide. At some point it’s worth forsaking motorized transport, to see at least some of the area by bike - the Rockies contain some of the most challenging and rewarding cycling terrain on the continent. And of course, you cannot really claim to have experienced the mountains unless you embark on a hike or two. When to visit the Rockies Between early June and early September you can expect temperatures in the high sixties all the way up to a hundred degrees Fahrenheit, depending on whether you are in the high desert of Wyoming, the plains of Idaho or the mountains of Colorado. Be prepared for wild variations in the mountains – and, of course, the higher you go the colder it gets. The altitude is high enough to warrant a period of acclimatization, while the sun at these elevations can be uncomfortably fierce. In fact, parts of Wyoming and Colorado bask in more hours of sunshine per year than San Diego or Miami Beach. Spring, when the snow melts, is the least attractive time to visit, and while the delicate golds of quaking aspen trees light up the mountainsides in early autumn, by October things are generally a bit cold for enjoyable hiking or sports. Most ski runs are open by late November and operate well into March – or even June, depending on snow conditions. The coldest month is January, when temperatures below 0°F are common.",usa,America,"[('forest', 'geographic_attraction'), ('desert', 'other_attraction'), ('geyser', 'geographic_attraction'), ('valley', 'geographic_attraction'), ('dune', 'geographic_attraction'), ('bison', 'animal_attraction'), ('bear', 'animal_attraction'), ('moose', 'animal_attraction'), ('elk', 'animal_attraction'), ('metropolis', 'architectural_attraction'), ('city', 'architectural_attraction'), ('resort', 'architectural_attraction'), ('stream', 'geographic_attraction'), ('lake', 'geographic_attraction'), ('scrubland', 'geographic_attraction'), ('spit', 'geographic_attraction'), ('mountains', 'geographic_attraction'), ('wilderness', 'geographic_attraction'), ('town', 'architectural_attraction'), ('terrain', 'other_attraction'), ('continent', 'geographic_attraction'), ('desert', 'other_attraction'), ('plain', 'geographic_attraction'), ('mountainside', 'geographic_attraction'), ('sport', 'entertainment_attraction')]","['forest', 'desert', 'geyser', 'valley', 'dune', 'bison', 'bear', 'moose', 'elk', 'metropolis', 'city', 'resort', 'stream', 'lake', 'scrubland', 'spit', 'mountains', 'wilderness', 'town', 'terrain', 'continent', 'desert', 'plain', 'mountainside', 'sport']","['stream', 'terrain', 'wilderness', 'lake', 'mountains', 'geyser', 'city', 'dune', 'scrubland', 'elk', 'bear', 'town', 'continent', 'valley', 'sport', 'bison', 'mountainside', 'metropolis', 'forest', 'moose', 'desert', 'plain', 'spit', 'resort']"
6,https://www.roughguides.com/usa/southwest/santa-fe/,Santa Fe,"One of America’s oldest and most beautiful cities, SANTA FE was founded by Spanish adventurers and missionaries in 1610, a decade before the Pilgrims reached Plymouth Rock. Spread across a high plateau at the foot of the stunning Sangre de Cristo mountains, New Mexico’s capital still glories in the adobe houses and baroque churches of its original architects, while its newer museums and galleries attract art-lovers from all over the world. The busiest season is summer, when temperatures usually reach into the eighties Fahrenheit - in winter, daytime highs average a mere 42°F, though with snow on the mountains the city looks more ravishing than ever. As upward of a million and a half tourists descend yearly upon a town of just seventy thousand inhabitants, Santa Fe has inevitably grown somewhat overblown. There’s still a lot to like, however. Despite the summer crowds, the downtown area still has the peaceful ambience of a small country town, while holding an extraordinary array of cultural and historic treasures. The rigorous insistence that every building should look like a seventeenth-century Spanish colonial palace takes a bit of getting used to, but above all else, it’s rare indeed for it to be such fun simply to stroll around a Southwestern city. Once you’ve got your bearings, the best places to get a sense of local history and culture are the Palace of the Governors and the New Mexico Museum of Arts downtown and the museums of Indian Arts and Culture and Folk Art a couple of miles southeast. Alternatively, set about exploring Santa Fe’s distinct neighbourhoods, such as the old Barrio Analco just southeast of downtown, home to the San Miguel Mission - the Canyon Road arts district, just beyond - and funkier Guadalupe Street to the west, with its new Railyard development.",usa,America,"[('city', 'architectural_attraction'), ('plateau', 'geographic_attraction'), ('house', 'architectural_attraction'), ('city', 'architectural_attraction'), ('town', 'architectural_attraction'), ('town', 'architectural_attraction'), ('building', 'architectural_attraction'), ('city', 'architectural_attraction')]","['city', 'plateau', 'house', 'city', 'town', 'town', 'building', 'city']","['city', 'town', 'plateau', 'building', 'house']"
7,https://www.roughguides.com/usa/capital-region/,The Capital Region Travel Guide,"The city of Washington, in the District of Columbia, and the four surrounding states of Virginia, West Virginia, Maryland and Delaware are collectively known as the Capital Region. Since the days of the first American colonies, US history has been shaped here, from the Jamestown landings to agitation for Independence, to the battles of the Revolutionary and Civil wars to 1960s Civil Rights milestones and protest movements on issues including war, abortion and gay rights. Early in the seventeenth century, the first British settlements began to take root along the rich estuary of the Chesapeake Bay - the colonists hoped for gold but found their fortunes instead in tobacco. Virginia, the first settlement, was the largest and most populous. Half of its people were slaves, brought from Africa to do the backbreaking work of harvesting the “noxious weed” of tobacco. Despite its central position on the East Coast, almost all the region lies below the Mason-Dixon Line – the imaginary line between North and South, drawn up in 1763 to resolve a border dispute, but which became the symbolic boundary between free and unfree states. Slaves helped build the Capitol, and until the Civil War one of the country’s busiest slave markets was just two blocks from the White House. Tensions between North and South finally erupted into the Civil War, of which traces are still visible everywhere. The hundred miles between the capital of the Union – Washington DC – and that of the Confederacy – Richmond, Virginia – were a constant and bloody battleground for four long years between 1861 and 1865. Washington DC itself, with its magnificent monuments and terrific museums, is an essential stop on any tour of the region, or of the country. Virginia, to the south, is home to hundreds of historic sites, from the estates of revolutionary leaders and early politicians to the Colonial capital of Williamsburg, as well as the narrow forested heights of Shenandoah National Park along the crest of the Blue Ridge Mountains. Much greater expanses of wilderness, crashing whitewater rivers and innumerable backwoods villages await you in far less-visited West Virginia. Most tourists come to Maryland for the maritime traditions of Chesapeake Bay, though many of its quaint old villages have been gentrified by weekend pleasure-boaters. Baltimore is full of character, enjoyably unpretentious if a bit ramshackle, while Annapolis, the pleasant state capital, is linked by bridge and ferry to the Eastern Shore. New Castle, across the border in Delaware, is a well-preserved colonial-era town - nearby are some of the East Coast’s best (and least crowded) beaches.",usa,America,"[('city', 'architectural_attraction'), ('battleground', 'other_attraction'), ('narrow', 'geographic_attraction'), ('wilderness', 'geographic_attraction'), ('river', 'geographic_attraction'), ('backwoods', 'geographic_attraction'), ('bridge', 'architectural_attraction'), ('town', 'architectural_attraction'), ('beach', 'geographic_attraction')]","['city', 'battleground', 'narrow', 'wilderness', 'river', 'backwoods', 'bridge', 'town', 'beach']","['city', 'bridge', 'beach', 'river', 'town', 'backwoods', 'wilderness', 'battleground', 'narrow']"
8,https://www.roughguides.com/usa/southwest/monument-valley/,Monument Valley,"The classic southwestern landscape of stark sandstone buttes and forbidding pinnacles of rock, poking from an endless expanse of drifting red sands, is an archetypal Wild West image. Only when you arrive at MONUMENT VALLEY – which straddles the Arizona–Utah state line, 24 miles north of Kayenta – do you realize how much your perception of the West has been shaped by this one spot. Such scenery does exist elsewhere, of course, but nowhere is it so perfectly distilled. While moviemakers have flocked here since the early days of Hollywood, the sheer majesty of the place still takes your breath away. Add the fact that it remains a stronghold of Navajo culture and Monument Valley can be the absolute highlight of a trip to the Southwest. The biggest and most impressive pair of monoliths are The Mittens - one East and one West, each has a distinct thumb splintering off from its central bulk. More than a dozen other spires spread nearby, along with rock art panels and assorted minor Ancestral Puebloan ruins. You can see the buttes for free, towering alongside US-163, but the four-mile detour to enter Monument Valley Tribal Park is rewarded with much closer views. A rough, unpaved road drops from behind the visitor centre and View hotel to run through Monument Valley itself. The seventeen-mile self-drive route makes a bumpy but bearable ride in an ordinary vehicle and takes something over an hour. However, the Navajo-led jeep or horseback tours into the backcountry are very much recommended - a ninety-minute jeep trip costs from around $50 per person if arranged on the spot, with plenty of longer and potentially much more expensive alternatives. As well as stopping at such movie locations as the Totem Pole, most tours call in at a Navajo hogan (eight-sided dwelling) to watch weavers at work.",usa,America,"[('butte', 'geographic_attraction'), ('stronghold', 'architectural_attraction'), ('butte', 'geographic_attraction'), ('rough', 'other_attraction'), ('hotel', 'architectural_attraction')]","['butte', 'stronghold', 'butte', 'rough', 'hotel']","['butte', 'stronghold', 'hotel', 'rough']"
9,https://www.roughguides.com/usa/southwest/zion-national-park/,Zion National Park,"With its soaring cliffs, riverine forests and cascading waterfalls, ZION NATIONAL PARK is the most conventionally beautiful of Utah’s parks. It’s divided into two main sections: Zion Canyon is on Hwy-9, thirty miles east of I-15 and 158 miles northeast of Las Vegas, while Kolob Canyons is just off I-15, further northeast. The centrepiece of the park, the lush oasis of Zion Canyon, feels far removed from the otherworldly desolation of Canyonlands or the weirdness of Bryce. Like California’s Yosemite Canyon, it’s a spectacular narrow gorge, echoing with the sound of running water - also like Yosemite, it can get claustrophobic in summer, clogged with traffic and crammed with sweltering tourists. Too many visitors see Zion Canyon as a quick half-day detour off the interstate as they race between Las Vegas and Salt Lake City. Magnificent though the canyon’s Scenic Drive may be, Zion deserves much more of your time than that. Even the shortest hiking trail can escape the crowds, while a day-hike will take you away from the deceptive verdure of the valley and up onto the high-desert tablelands beyond. Summer is by far the busiest season. That’s despite temperatures in excess of 100°F and violent thunderstorms concentrated especially in August. Ideally, come in spring to see the flowers bloom, or in autumn to enjoy the colours along the river.",usa,America,"[('cliff', 'geographic_attraction'), ('forest', 'geographic_attraction'), ('cascade', 'geographic_attraction'), ('waterfall', 'geographic_attraction'), ('oasis', 'other_attraction'), ('narrow', 'geographic_attraction'), ('gorge', 'geographic_attraction'), ('valley', 'geographic_attraction'), ('tableland', 'geographic_attraction'), ('river', 'geographic_attraction')]","['cliff', 'forest', 'cascade', 'waterfall', 'oasis', 'narrow', 'gorge', 'valley', 'tableland', 'river']","['waterfall', 'gorge', 'forest', 'river', 'cliff', 'cascade', 'tableland', 'oasis', 'narrow', 'valley']"
